Date,Name,Year,Letterboxd URI,Rating
2025-08-30,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2025-08-30,The Lego Batman Movie,2017,https://boxd.it/azp0,4.5
2025-08-30,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3.5
2025-08-30,The Godfather,1972,https://boxd.it/2aNK,5
2025-08-30,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2025-08-30,Dune,2021,https://boxd.it/fA7G,5
2025-08-30,Spider-Man,2002,https://boxd.it/2a8i,4.5
2025-08-30,The Social Network,2010,https://boxd.it/17ue,3.5
2025-08-30,Iron Man,2008,https://boxd.it/28dA,3.5
2025-08-30,The Amazing Spider-Man,2012,https://boxd.it/27PI,3.5
2025-08-30,Spider-Man 2,2004,https://boxd.it/2a88,4
2025-08-30,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3.5
2025-08-30,Cars,2006,https://boxd.it/29ho,4
2025-08-30,The Wild Robot,2024,https://boxd.it/IWFy,4.5
2025-08-30,Joker,2019,https://boxd.it/h4cS,3.5
2025-08-30,Spider-Man: Far From Home,2019,https://boxd.it/fegG,4
2025-08-30,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,3
2025-08-30,Soul,2020,https://boxd.it/ioLA,3.5
2025-08-30,Spider-Man 3,2007,https://boxd.it/2a7Y,3.5
2025-08-30,The Godfather Part II,1974,https://boxd.it/2aNq,5
